thread,ops,ds,test
8,39471,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
12,35848,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
16,32801,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
20,30657,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
24,29846,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
32,28043,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
36,24828,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
40,18557,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
48,33437,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
62,29368,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
72,27556,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
80,19171,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
1,7550,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
4,24503,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
8,41631,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
12,55078,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
16,60087,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
20,62688,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
24,62773,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
32,61256,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
36,60336,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
40,57569,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
48,44608,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
62,38276,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
72,39660,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
80,39244,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
1,29216,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
4,100273,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
8,183292,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
12,246187,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
16,304961,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
20,353285,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
24,379086,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
32,418255,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
36,437421,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
40,457475,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
48,609901,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
62,786808,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
72,856145,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
80,904470,NoPersistMedleyFraserSkipList<uint64_t>,TPCC<NBTC>
1,11555,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
4,40675,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
8,69671,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
12,91162,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
16,104629,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
20,115548,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
24,121152,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
32,127121,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
40,131022,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
48,138681,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
62,154260,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
72,162406,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
80,161165,txMontageFraserSkipList<uint64_t>,TPCC<NBTC>
1,34393,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
4,38060,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
8,39501,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
12,35647,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
16,32536,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
20,31143,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
24,29423,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
32,28372,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
36,24356,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
40,18618,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
48,33537,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
62,29312,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
72,27826,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
80,19492,NoPersistOneFileSkipList<uint64_t>,TPCC<OneFile>
1,7674,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
4,24313,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
8,42275,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
12,54757,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
16,60390,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
20,63278,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
24,62943,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
32,61341,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
36,59974,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
40,59299,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
48,43752,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
62,38497,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
72,39068,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
80,38806,NoPersistTDSLSkipList<uint64_t>,TPCC<TDSL>
